"Subject","Gender","AFQT","Income2005","Edu2006"
2,"female",6.841,5.5,12
6,"male",99.393,65,16
7,"male",47.412,19,12
8,"female",44.022,36,14
9,"male",59.683,65,14
13,"male",72.313,8,16
16,"female",50.283,71,13
17,"male",89.669,43,13
18,"male",95.977,120,13
20,"female",67.021,64,17
21,"female",88.416,253.043,16
22,"female",89.167,45.3,16
29,"female",25.905,85,12
34,"male",6.069,150.432,13
37,"female",56.29,37,12
38,"female",12.788,70,12
39,"male",26.851,67,12
41,"male",57.095,120,15
42,"male",22.326,45,12
44,"female",37.061,7.2,12
46,"female",78.095,42,19
47,"male",75.473,66.309,12
49,"female",71.226,34,14
57,"female",30.83,12,12
58,"female",91.625,55.5,17
61,"female",99.15,63,14
62,"female",36.384,30,13
63,"male",87.934,108,16
69,"male",86.703,120,18
73,"male",81.527,186.135,18
78,"female",85.347,14.657,16
86,"female",7.198,14,9
87,"male",12.463,17,12
89,"female",84.98,62,16
97,"female",59.411,49,14
105,"female",81.787,40,12
106,"male",87.651,105,16
107,"male",65.347,43,16
117,"male",98.349,83,15
119,"male",27.671,12,16
120,"male",97.847,150,16
121,"female",92.618,41,17
126,"male",67.259,85,14
129,"male",92.817,80,16
133,"female",57.983,52,12
137,"female",87.283,175.829,16
138,"female",88.326,8,16
139,"male",79.832,120,15
140,"female",72.878,65,17
141,"female",85.861,44.768,18
143,"female",59.838,52,14
145,"male",62.607,10,12
146,"male",86.932,50,12
147,"female",22.466,12,14
148,"male",74.997,21.8,12
149,"female",39.973,95,12
152,"female",93.332,85,12
156,"male",4.975,14,11
158,"female",85.206,35.1,17
160,"female",77.44,65,14
162,"male",98.253,76,18
165,"female",46.506,50,12
166,"male",58.432,82,13
174,"female",47.279,48,13
179,"female",30.455,29,12
184,"female",59.078,6,16
185,"male",77.155,34,12
186,"female",81.515,65,18
188,"female",11.983,15,10
190,"female",73.636,92,18
191,"male",89.27,118,19
192,"female",80.48,26,16
193,"male",45.527,105,16
195,"male",87.917,348.204,18
197,"female",17.107,17,12
198,"male",64.239,130,18
199,"male",19.225,38,12
200,"female",27.551,35,12
201,"male",86.603,16,16
202,"male",73.184,55,14
207,"male",25.802,32,12
210,"male",59.04,50,16
218,"male",81.447,261.763,16
219,"female",60.012,102,20
220,"female",89.381,105,20
228,"female",2.739,1.6,9
230,"male",34.084,55,15
232,"male",55.78,45,14
233,"male",31.472,39,12
234,"male",35.461,140,12
235,"male",61.313,98,15
236,"female",71.673,30,13
239,"female",13.294,9,10
240,"female",50.483,38,12
242,"female",30.481,75,12
243,"male",62.957,94.6,12
244,"female",73.828,5,12
245,"female",81.929,25,14
247,"male",52.544,79,20
248,"male",8.261,2,14
253,"male",34.745,20,11
256,"female",56.308,3,13
257,"male",58.214,22,12
259,"male",56.348,14,12
260,"male",83.227,65,14
269,"male",83.698,154.541,16
273,"male",64.372,61.5,15
274,"male",88.343,45,13
275,"female",72.963,52,14
279,"male",59.272,64.5,12
281,"male",72.769,99,18
282,"female",85.4,14,16
283,"male",15.136,53,12
284,"male",44.708,90,12
285,"female",15.448,35,10
290,"female",11.136,19,10
294,"female",62.191,12,12
299,"male",12.439,25,11
306,"male",27.277,40,14
310,"male",18.491,70,12
313,"male",30.794,37,11
317,"male",78.739,31.5,16
321,"female",76.525,69,16
323,"male",65.825,80,12
324,"male",10.373,23,9
327,"female",88.257,28,16
335,"female",62.746,10,15
341,"female",46.696,125,14
342,"male",95.123,96,17
346,"male",43.221,120,16
348,"male",36.155,164.307,12
350,"male",47.18,100,17
351,"male",19.021,39,12
354,"female",65.997,9.6,12
355,"male",55.481,120,13
356,"male",41.794,50,11
357,"male",68.746,80,16
358,"male",28.374,110,16
359,"female",37.74,60,16
360,"female",80.272,34,19
362,"male",19.625,48,12
367,"female",76.624,58,16
369,"female",91.042,12,16
370,"female",89.893,20,16
373,"female",11.771,9,12
375,"male",11.374,17.5,12
376,"male",83.17,47,18
377,"male",32.899,10,12
381,"male",49.149,105,12
385,"female",39.687,41.5,12
386,"female",63.197,43,12
388,"female",78.241,70,15
391,"female",23.959,35,12
392,"male",93.142,60,12
393,"male",76.768,68,13
399,"female",66.314,62.5,18
400,"female",100,75,16
401,"female",24.833,11.5,12
405,"female",16.239,26,13
408,"male",85.102,68,12
409,"male",90.513,180.733,16
410,"male",68.615,31.085,12
411,"male",18.169,16,12
414,"female",73.351,21,14
418,"female",60.767,28,13
422,"male",99.379,55,19
426,"male",27.838,82,12
433,"male",1.622,21.528,12
434,"male",65.734,59,12
437,"female",71.472,22,12
438,"female",79.95,36,13
439,"female",75.485,77,16
442,"female",64.195,15,13
443,"male",97.365,47,14
444,"female",80.238,1.5,16
445,"male",93.639,40,16
446,"female",25.328,32,12
449,"female",47.638,14,12
453,"male",72.199,40.3,13
456,"male",48.986,50,18
457,"male",78.555,53,16
458,"female",86.548,65,18
459,"female",85.905,10,20
460,"female",31.254,21.4,13
461,"male",90.491,85,16
464,"male",79.33,78,14
465,"female",85.844,12,12
467,"female",95.508,20,16
470,"male",11.35,46,12
479,"male",76.189,86,16
480,"male",51.896,60,18
481,"male",93.653,388.725,19
482,"male",77.991,122,19
484,"male",13.303,30,12
485,"female",8.229,12,12
486,"male",50.498,196.424,12
489,"male",59.586,85,14
491,"female",13.761,20,12
495,"female",69.07,29.821,14
496,"female",92.866,25,16
499,"female",39.163,36,13
500,"female",64.295,53,14
501,"female",78.966,25,19
502,"male",71.792,90,12
503,"female",56.773,23,12
505,"male",26.498,28,12
506,"female",43.741,43,16
520,"male",26.381,73,16
521,"male",37.473,80,17
527,"female",61.184,50,13
533,"female",55.185,5,15
535,"male",33.208,20,12
540,"male",16.138,60,12
543,"male",21.108,98,12
547,"male",45.744,69,11
548,"female",72.071,15,12
550,"female",81.039,22,12
553,"male",99.154,10,16
554,"male",91.427,1.1,19
556,"male",86.423,147,18
557,"female",99.324,1.2,17
558,"female",83.317,36,17
560,"male",62.344,78.5,14
561,"female",76.633,42,20
562,"male",64.432,55,20
564,"male",33.668,5,14
565,"male",35.041,55,13
583,"male",73.326,36,13
585,"female",25.699,25,9
594,"male",53.342,80,12
597,"male",2.826,0.5,11
604,"female",62.762,40,15
606,"male",72.782,35,13
608,"female",88.693,27,16
609,"female",45.803,32,16
612,"female",48.877,46.136,16
613,"male",35.747,95,12
616,"male",9.141,25,12
622,"female",52.674,36.5,15
631,"male",22.379,18,11
632,"female",1.31,4,12
636,"female",34.526,40,12
639,"male",60.396,35,12
640,"female",77.715,42,12
645,"male",86.137,163.172,16
646,"female",1.79,12.5,12
647,"male",43.472,61,12
649,"male",85.54,110,17
650,"female",77.736,58,16
653,"male",90.095,96,18
659,"male",39.786,75,14
662,"female",70.5,22,12
663,"male",76.234,85,16
664,"female",47.912,43,17
665,"female",59.991,30,16
667,"male",70.912,58,14
669,"male",79.232,29,12
671,"male",79.303,10,16
674,"male",2.926,50,12
675,"male",3.663,8.4,11
679,"male",8.563,20,12
681,"male",6.381,5,12
683,"female",45.808,52,18
684,"male",29.001,72,12
686,"male",79.313,57,18
688,"female",41.58,23,14
692,"female",36.055,45,13
697,"male",14.729,50,12
701,"male",10.566,9.8,9
703,"female",40.97,3,12
704,"female",46.092,56,13
707,"male",31.469,48,14
709,"male",26.594,41.167,12
711,"male",38.582,40,12
712,"female",80.637,41,13
713,"female",14.274,11,12
714,"male",26.688,20,11
717,"male",30.429,40,12
719,"male",6.818,48,12
720,"female",36.158,35,12
721,"female",24.725,22,13
722,"male",38.013,57.5,11
723,"female",26.792,25,12
724,"female",78.513,20,15
725,"male",97.319,74,20
728,"male",20.133,30,12
730,"male",70.604,100,15
731,"male",46.018,40,12
732,"male",51.017,35,12
733,"female",27.489,28.82,13
745,"female",31.508,41,12
746,"female",65.278,35.5,13
747,"male",70.368,50.3,12
748,"female",23.929,34,13
751,"male",28.746,55,16
752,"female",80.463,120,19
755,"female",54.906,37,12
756,"female",20.084,26,12
757,"female",31.118,35,14
758,"female",11.905,20,12
761,"female",55.614,25,15
762,"male",48.786,12,12
763,"male",34.18,23,12
764,"female",31.809,21,14
769,"male",34.236,3,12
772,"male",52.482,74,12
774,"male",53.534,35,14
776,"male",97.088,115,17
777,"male",79.85,85,16
778,"male",89.794,30,17
779,"female",60.353,26,14
784,"male",49.537,30,13
789,"female",42.361,15,12
792,"female",28.537,30,16
793,"male",61.347,30,16
796,"male",94.119,58,16
797,"male",68.375,72,12
799,"male",34.051,53,12
800,"male",32.078,54,14
801,"female",25.324,19.327,14
802,"male",17.362,30,12
804,"female",40.982,16,19
806,"male",13.465,35,12
807,"male",76.332,70,16
810,"female",91.719,115,16
811,"female",63.642,16,15
812,"female",86.99,10.5,16
813,"male",85.915,33,20
814,"female",19.541,16,12
815,"male",66.54,23.4,12
816,"female",39.343,29,16
817,"male",81.325,117,16
818,"male",35.569,85,13
820,"female",49.039,85,16
821,"female",99.18,34,18
825,"male",89.264,73,17
827,"male",92.042,169.541,20
829,"female",38.888,66,19
832,"male",38.997,20,12
835,"female",25.338,25,13
839,"female",4.208,30,15
843,"female",34.453,3,12
847,"male",22.976,67.5,16
849,"female",36.881,20,12
850,"male",82.62,85,13
851,"male",55.782,48,12
854,"female",50.954,22,12
856,"female",83.737,25,13
859,"male",23.25,46,12
860,"male",69.283,37.5,12
861,"female",49.173,29,12
862,"female",41.383,25,11
863,"male",38.088,125,12
866,"female",27.315,36,12
872,"male",71.872,176.354,16
874,"male",94.976,90,19
875,"female",25.657,40,12
878,"female",68.575,50,12
879,"female",79.765,52.9,20
881,"male",80.898,8,16
882,"male",64.498,42,16
883,"female",75.516,30,15
884,"female",98.089,52,18
885,"male",81.33,37,16
888,"male",21.826,50,12
889,"female",45.056,24,15
890,"male",82.756,183.306,19
891,"male",42.935,36,12
896,"female",98.804,15,16
898,"female",79.576,40,16
899,"male",83.208,31,15
902,"male",82.49,64.32,17
906,"female",93.511,90,19
907,"male",93.432,7,19
908,"male",82.465,37,16
909,"female",61.363,31.33,15
912,"female",91.404,34,16
914,"female",75.363,71.5,12
915,"female",92.122,57,14
916,"male",82.189,20,16
920,"male",86.877,120,16
921,"male",7.983,65,14
922,"male",55.885,90,12
929,"male",75.258,42,12
932,"female",26.769,30,12
935,"female",34.62,9.8,12
936,"female",58.404,15,15
937,"male",84.974,75,14
938,"male",21.712,38.5,12
941,"male",44.224,80,13
942,"female",55.978,43,12
944,"male",97.299,54,18
945,"male",51.523,37.3,16
947,"male",77.263,64,13
949,"female",64.067,70,12
950,"female",91.63,30,12
951,"male",52.109,72,12
952,"female",63.71,23.6,12
955,"male",45.546,40,12
956,"male",55.543,15,13
958,"male",41.439,35,12
959,"male",96.442,170.247,14
960,"male",88.979,150,15
961,"male",88.914,140,16
962,"female",67.25,45.5,14
963,"female",51.978,65,12
964,"female",28.308,48,12
966,"female",18.824,44,12
967,"female",17.834,56,12
968,"male",43.365,65,12
969,"female",44.379,31,12
970,"male",57.553,110,12
971,"female",53.275,3,12
972,"female",57.315,38,12
973,"male",65.073,42,12
974,"female",66.668,55,20
976,"female",62.466,51,18
990,"male",60.136,39,12
996,"male",30.891,60,12
997,"male",78.723,46,12
999,"female",67.602,27,16
1003,"male",61.145,70,16
1004,"female",27.973,56,14
1007,"male",47.45,125,12
1011,"male",34.339,45,12
1013,"male",91.199,25,14
1019,"female",100,29,17
1020,"female",98.236,84,17
1029,"female",26.365,17,12
1034,"female",12.727,23,7
1038,"female",64.065,24,14
1039,"female",71.23,44,15
1042,"male",28.954,26,12
1043,"male",3.732,16,12
1044,"male",4.871,25,12
1046,"male",70.337,0.063,19
1048,"female",3.156,13,12
1049,"female",84.635,51,18
1051,"male",87.785,67,18
1052,"male",89.341,183.467,18
1053,"male",73.413,394.058,16
1056,"female",15.555,24,12
1058,"male",34.012,47,14
1060,"male",33.045,12,12
1062,"male",58.977,115,12
1063,"female",45.58,20.518,12
1065,"female",70.03,20.16,12
1068,"male",0.958,12,9
1071,"female",8.758,12.649,12
1072,"male",35.78,65,18
1076,"female",43.456,40,14
1078,"female",88.023,61,16
1080,"female",68.497,7.5,12
1081,"male",76.163,38.262,14
1082,"female",71.597,70,16
1085,"male",65.317,36,12
1086,"female",77.119,67.5,18
1089,"male",1.672,35,9
1090,"female",12.621,1.3,9
1091,"male",51.083,24,10
1092,"male",59.139,15,12
1093,"female",50.614,35,16
1096,"male",15.428,48,12
1097,"male",97.926,59,14
1098,"male",98.356,108,20
1101,"female",89.998,50,19
1102,"male",44.711,0.429,15
1104,"female",55.829,90,15
1105,"female",65.903,61,18
1106,"female",87.203,35,16
1111,"female",44.401,44,12
1114,"female",31.751,50,12
1116,"female",31.89,30,14
1118,"female",22.955,80,12
1122,"male",99.147,37,16
1130,"female",50.405,5,12
1134,"male",65.998,53,11
1138,"male",58.192,58,16
1139,"female",72.569,60,16
1141,"female",17.614,30,12
1143,"male",83.528,180.124,16
1144,"male",79.836,248.713,16
1147,"female",58.247,6.5,12
1148,"male",2.509,31,11
1153,"male",4.843,2.3,10
1155,"female",25.334,52,14
1156,"male",39.245,25,12
1157,"female",70.82,63,16
1158,"female",27.018,31,14
1159,"female",45.679,30,15
1160,"female",34.867,20,14
1163,"female",20.274,25,14
1166,"female",42.776,20.609,13
1169,"male",53.364,130,12
1176,"male",62.064,77,16
1179,"female",74.366,35,12
1181,"female",64.846,150,13
1182,"female",91.545,48,18
1184,"female",90.731,95,16
1185,"male",100,268.384,20
1186,"male",58.93,140,16
1187,"female",86.394,39,19
1188,"male",79.064,130,15
1200,"female",49.449,9,16
1208,"female",82.941,120,20
1221,"female",0.899,16.2,12
1222,"male",7.51,38,12
1223,"female",1.552,15,13
1224,"female",15.04,12,13
1233,"female",36.925,42,14
1237,"male",29.091,24,12
1238,"female",54.782,62,13
1240,"female",70.563,52,18
1247,"male",12.838,8,12
1249,"male",64.562,80,12
1250,"female",31.365,17,12
1251,"female",36.464,31,12
1252,"female",54.28,16,17
1253,"female",52.948,21.6,12
1255,"female",93.903,87,18
1256,"male",17.735,50,13
1257,"male",34.121,23,12
1258,"female",62.762,3,14
1260,"male",10.889,35,9
1261,"female",66.079,50,14
1268,"male",98.102,90,16
1272,"male",37.465,39,12
1273,"male",68.375,24,13
1276,"female",92.033,46,16
1279,"female",81.419,24,15
1286,"female",6.841,32,16
1287,"male",7.088,50,14
1288,"male",10.393,21,14
1290,"female",38.983,36,14
1291,"male",8.107,16,13
1293,"female",35.191,36,16
1294,"male",51.781,209.138,15
1301,"male",27.851,25,14
1311,"male",46.54,130,16
1312,"female",41.138,18,12
1315,"male",70.51,257.286,15
1318,"male",22.661,37,8
1319,"male",6.629,43,12
1320,"male",100,78,13
1321,"male",51.798,56,13
1323,"female",85.328,42,17
1325,"male",82.181,80,16
1327,"female",59.279,53,12
1338,"male",66.383,42,13
1344,"female",67.442,72,18
1347,"female",50.056,157.28,16
1351,"male",54.619,13,12
1353,"male",50.963,20,12
1357,"male",5.401,38,12
1359,"female",61.346,40,18
1360,"female",28.956,27,12
1362,"female",96.033,70,17
1366,"female",36.305,29.8,12
1367,"male",85.66,16,16
1368,"male",96.899,39,16
1374,"female",69.216,15.7,16
1383,"male",2.991,80,12
1384,"male",13.4,26,12
1385,"female",44.576,34,13
1386,"male",24.991,52,12
1393,"male",66.493,79,15
1394,"female",67.269,62,16
1395,"female",45.317,63,20
1397,"male",26.78,45,12
1399,"female",74.636,45,14
1411,"female",45.789,16,14
1413,"male",1.65,19,11
1416,"female",20.731,12,12
1417,"male",24.893,31,12
1418,"male",61.57,41,12
1419,"female",4.111,22,12
1425,"male",77.186,38,12
1426,"female",54.506,38.685,12
1429,"male",82.219,30,16
1432,"male",18.811,42,16
1433,"male",36.667,50,17
1434,"male",1.985,31.98,11
1436,"female",8.681,10,11
1438,"female",4.199,27,12
1440,"female",10.283,22,13
1455,"female",14.511,25,7
1459,"female",85.258,40,14
1462,"male",33.171,28.6,12
1468,"male",36.634,29,12
1470,"female",64.514,35,18
1471,"male",15.586,50,8
1477,"male",48.936,70,16
1479,"male",97.372,100,18
1481,"male",49.641,71,16
1484,"female",2.513,40,13
1487,"female",42.852,45,13
1490,"female",19.642,25,12
1491,"female",14.083,39,13
1492,"male",82.535,45,14
1493,"female",65.038,245.549,12
1495,"female",19.342,15,12
1499,"female",47.406,16,12
1500,"male",24.715,50,12
1501,"male",97.458,60,17
1502,"female",98.242,12,16
1503,"male",84.661,58,20
1506,"male",88.937,42,12
1507,"female",60.833,22,12
1508,"male",96.289,35,14
1509,"male",90.493,25,17
1510,"female",66.956,26,16
1512,"female",80.758,15,15
1514,"female",45.16,51,13
1515,"male",44.773,67,12
1516,"female",8.674,23.3,12
1521,"male",21.457,41,12
1522,"female",67.176,51.3,16
1527,"male",2.099,28,12
1529,"female",35.947,23,13
1530,"female",30.909,28,15
1531,"female",44.428,26,12
1532,"female",57.544,17.407,12
1534,"female",27.174,52,12
1538,"female",30.59,45,18
1539,"female",77.51,30,12
1541,"female",22.337,41.4,12
1547,"male",43.214,85,11
1548,"female",40.716,4,10
1551,"female",25.797,19,12
1552,"female",24.669,9.2,16
1553,"female",79.584,40,12
1554,"male",52.176,59,12
1555,"male",69.185,28.352,14
1556,"male",69.556,32.176,12
1558,"female",60.233,12,14
1560,"male",21.06,19,12
1564,"female",84.972,3.4,16
1566,"female",65.249,39.1,15
1568,"female",79.707,6,14
1569,"male",72.895,63,16
1571,"female",77.537,45,15
1574,"male",90.317,47,16
1575,"male",33.184,171.551,14
1577,"male",60.11,59,12
1580,"male",21.756,56,12
1585,"male",54.802,60,12
1586,"female",69.894,54,15
1587,"female",92.892,27.3,16
1590,"male",22.782,16,12
1591,"male",33.418,7,12
1592,"female",27.228,10,12
1593,"female",14.232,17,12
1595,"male",44.794,120,12
1597,"male",67.922,52,12
1598,"female",70.988,35,14
1599,"female",43.417,24,12
1601,"male",53.921,368.302,16
1602,"male",54.571,90,12
1603,"male",45.157,20,17
1605,"female",40.773,40,12
1607,"female",48.83,19.2,12
1608,"female",58.11,11.04,12
1610,"female",29.107,18,12
1617,"female",21.965,20,12
1619,"male",58.937,65,18
1621,"female",87.899,35.942,17
1622,"male",55.357,60,16
1626,"male",96.046,73,16
1627,"male",36.485,20,12
1629,"female",65.439,100,12
1631,"male",96.226,85,16
1632,"male",98.63,100.035,18
1633,"female",86.213,100,20
1635,"male",53.399,40,12
1636,"male",49.697,56,12
1637,"male",60.861,15,12
1640,"female",51.871,48,12
1641,"male",62.029,110,12
1642,"female",1.532,75,14
1644,"male",43.409,9.4,15
1651,"male",71.136,153.334,12
1656,"female",51.885,33,12
1659,"male",61.986,26,14
1670,"male",96.168,105,16
1719,"female",48.05,60,18
1720,"female",25.265,45,14
1721,"male",7.672,80,12
1725,"female",7.182,25,11
1729,"female",30.508,24,12
1730,"female",66.596,52,17
1733,"female",84.465,115,16
1735,"female",63.611,3,17
1739,"male",95.901,10,15
1740,"female",49.857,19,16
1744,"male",67.544,60,13
1746,"male",96.851,116,19
1750,"male",47.189,44,12
1751,"female",4.888,35,13
1758,"female",5.654,13,15
1763,"male",69.733,22,16
1766,"female",78.662,12,16
1768,"female",36.71,8,12
1769,"female",27.375,29.515,12
1775,"female",35.079,34,13
1778,"female",46.099,8,14
1779,"male",28.861,74,11
1780,"male",73.734,40,14
1781,"male",39.081,100,15
1784,"male",81.518,45,15
1785,"female",9.875,29,15
1786,"female",37.054,46.8,12
1787,"female",47.805,52,17
1788,"male",77.653,56.856,12
1790,"male",71.533,34,12
1792,"male",87.518,15,14
1795,"female",40.415,108.888,20
1797,"female",56.703,3.04,9
1798,"female",85.903,27.1,15
1802,"male",77.562,27.915,12
1803,"female",70.548,36,19
1804,"female",91.449,12,17
1808,"female",89.408,125,16
1810,"male",53.687,155.867,13
1819,"male",79.036,29,15
1820,"male",13.65,8,8
1824,"female",6.023,19,9
1826,"female",62.879,45,12
1831,"female",24.374,64,15
1835,"male",30.175,40,12
1836,"male",51.237,50,14
1837,"male",17.492,32,13
1838,"female",13.046,17,12
1839,"female",6.12,18,12
1841,"female",92.678,85,20
1844,"female",87.281,188.404,18
1846,"male",73.252,192.896,18
1847,"female",74.288,68,14
1848,"female",29.189,46,13
1858,"female",75.798,68,18
1860,"female",40.414,29,12
1862,"female",31.547,0.9,12
1863,"female",61.428,20,12
1865,"female",27.567,28,12
1866,"female",42.755,25,12
1867,"male",89.968,52,12
1868,"female",35.098,26.5,13
1869,"male",26.004,14,12
1872,"male",18.192,35,12
1873,"male",16.817,22,12
1875,"male",90.923,130,18
1878,"female",29.321,8,12
1880,"female",88.272,30,20
1881,"male",42.474,40,12
1884,"male",42.428,12.5,12
1885,"female",65.232,35,16
1887,"male",9.128,11,12
1889,"male",42.279,35.675,13
1890,"male",13.298,18,12
1891,"male",46.449,26.8,12
1895,"male",84.709,83,14
1896,"female",85.085,28,18
1899,"male",24.004,32,12
1902,"female",48.953,40.574,12
1904,"female",86.141,26,12
1905,"female",58.233,45,12
1906,"female",97.146,25,18
1910,"male",55.765,55,12
1912,"female",49.375,25,14
1913,"female",41.544,14.103,14
1914,"male",95.324,48,19
1916,"male",66.692,74.481,19
1917,"male",27.775,48,12
1918,"male",74.519,68,12
1920,"male",57.75,2,14
1924,"male",39.286,65,16
1925,"male",66.523,44,12
1926,"female",31.904,16,12
1927,"female",53.586,21.455,12
1929,"female",95.734,81,14
1930,"male",95.174,45,16
1944,"male",82.351,86,14
1947,"female",41.857,16,12
1950,"male",63.15,22,16
1951,"female",45.219,42,18
1952,"male",46.049,85,17
1953,"female",87.413,24,19
1954,"female",87.743,4,16
1955,"male",79.36,60,14
1957,"male",10.797,47,12
1958,"male",79.33,45,15
1959,"male",29.263,36,12
1961,"male",48.541,100,12
1962,"female",10.28,25,12
1963,"male",63.4,67,12
1964,"male",29.838,30,12
1965,"female",52.187,25,12
1966,"male",85.623,42,12
1967,"female",61.486,40,16
1971,"male",51.182,65,12
1975,"male",80.742,41,12
1976,"female",64.089,36,16
1977,"male",37.901,50,12
1978,"male",29.377,48,14
1985,"female",59.974,25,12
1986,"female",69.903,23,14
1988,"male",15.656,46,12
1990,"female",63.26,26,12
1992,"male",24.185,68,13
1994,"female",75.484,28,13
1995,"female",33.083,3,15
1996,"male",53.612,32,12
1998,"male",59.463,9.724,12
1999,"female",67.772,46,19
2002,"female",35.088,12,12
2003,"female",13.023,8,12
2005,"male",84.088,78,16
2007,"male",92.051,143,14
2010,"male",75.4,12,19
2011,"female",70.191,25,15
2012,"female",39.888,32,12
2013,"female",86.555,9.2,12
2014,"male",54.184,27,12
2018,"male",72.231,27.64,12
2020,"male",23.806,26,12
2024,"male",89.508,65,15
2027,"female",93.336,9,19
2029,"male",93.935,135,20
2030,"female",77.209,5.5,18
2031,"male",2.044,36,11
2032,"male",22.171,32,12
2033,"male",66.318,157.117,12
2034,"male",56.852,52,16
2035,"female",78.055,25,12
2037,"female",91.541,2.7,19
2038,"male",97.36,162.919,18
2040,"male",85.929,14.969,14
2041,"male",72.82,20,14
2042,"female",91.215,6,18
2045,"male",56.026,30,12
2046,"female",27.156,24,12
2047,"male",73.594,55,13
2049,"female",88.874,33,16
2051,"male",6.945,20,11
2055,"male",68.805,30,12
2056,"male",57.501,135,16
2057,"female",31.002,9,15
2061,"female",88.199,50,16
2062,"female",39.555,110,18
2066,"female",27.605,29,12
2067,"male",43.433,60,12
2068,"female",55.547,35,16
2070,"female",13.237,60,12
2071,"female",88.381,1,14
2072,"female",89.269,4,12
2073,"female",85.923,22,12
2074,"female",77.334,58,12
2075,"male",59.435,66,12
2076,"female",30.985,39.144,12
2079,"female",38.187,28,12
2080,"male",59.98,17,12
2081,"male",51.661,46,12
2083,"female",94.93,26,16
2086,"male",39.837,27,12
2087,"male",48.513,40,12
2088,"female",56.782,30,14
2089,"male",20.616,40,12
2090,"male",22.22,37,12
2093,"male",69.551,48,12
2094,"female",7.262,29,12
2096,"male",32.475,92,16
2097,"male",34.695,71,12
2099,"female",35.591,62,13
2100,"male",89.871,52,12
2101,"male",81.726,90,12
2102,"female",41.532,24,12
